,EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked
943,942,35.0,Travel_Rarely,1137.0,Research & Development,21.0,1.0,Life Sciences,1.0,4.0,Female,51.0,3.0,2.0,Healthcare Representative,4.0,Married,4014.0,19170.0,1.0
944,1374,34.0,Non-Travel,999.0,Research & Development,26.0,1.0,Technical Degree,1.0,1.0,Female,92.0,2.0,1.0,Research Scientist,3.0,Divorced,2029.0,15891.0,1.0
945,481,36.0,Travel_Frequently,541.0,Sales,3.0,4.0,Medical,1.0,1.0,Male,48.0,2.0,3.0,Sales Executive,4.0,Married,9699.0,7246.0,4.0
946,1784,31.0,Travel_Rarely,196.0,Sales,29.0,4.0,Marketing,1.0,1.0,Female,91.0,2.0,2.0,Sales Executive,4.0,Married,5468.0,13402.0,1.0
947,725,27.0,Travel_Rarely,608.0,Research & Development,1.0,2.0,Life Sciences,1.0,3.0,Female,68.0,3.0,3.0,Manufacturing Director,1.0,Married,7412.0,6009.0,1.0
948,1180,40.0,Travel_Frequently,902.0,Research & Development,26.0,2.0,Medical,1.0,3.0,Female,92.0,2.0,2.0,Research Scientist,4.0,Married,4422.0,21203.0,3.0
949,74,35.0,Travel_Frequently,853.0,Sales,18.0,5.0,Life Sciences,1.0,2.0,Male,71.0,3.0,3.0,Sales Executive,1.0,Married,9069.0,11031.0,1.0
950,834,45.0,Travel_Rarely,252.0,Research & Development,2.0,3.0,Life Sciences,1.0,2.0,Female,95.0,2.0,1.0,Research Scientist,3.0,Single,2274.0,6153.0,1.0
951,282,38.0,Travel_Rarely,1180.0,Research & Development,29.0,1.0,Medical,1.0,2.0,Male,70.0,3.0,2.0,Healthcare Representative,1.0,Married,6673.0,11354.0,7.0
952,132,44.0,Non-Travel,489.0,Research & Development,23.0,3.0,Medical,1.0,2.0,Male,67.0,3.0,2.0,Laboratory Technician,2.0,Married,2042.0,25043.0,4.0
953,54,27.0,Travel_Rarely,1240.0,Research & Development,2.0,4.0,Life Sciences,1.0,4.0,Female,33.0,3.0,1.0,Laboratory Technician,1.0,Divorced,2341.0,19715.0,1.0
954,656,37.0,Travel_Rarely,558.0,Sales,2.0,3.0,Marketing,1.0,4.0,Male,75.0,3.0,2.0,Sales Executive,3.0,Married,9602.0,3010.0,4.0
955,784,23.0,Travel_Rarely,310.0,Research & Development,10.0,1.0,Medical,1.0,1.0,Male,79.0,4.0,1.0,Research Scientist,3.0,Single,3505.0,19630.0,1.0
956,1074,55.0,Non-Travel,444.0,Research & Development,2.0,1.0,Medical,1.0,3.0,Male,40.0,2.0,4.0,Manager,1.0,Single,16756.0,17323.0,7.0
957,1501,55.0,Travel_Rarely,1229.0,Research & Development,4.0,4.0,Life Sciences,1.0,4.0,Male,30.0,3.0,2.0,Healthcare Representative,3.0,Married,4035.0,16143.0,0.0
958,710,29.0,Travel_Frequently,806.0,Research & Development,1.0,4.0,Life Sciences,1.0,2.0,Male,76.0,1.0,1.0,Research Scientist,4.0,Divorced,2720.0,18959.0,1.0
959,1040,50.0,Non-Travel,145.0,Sales,1.0,3.0,Life Sciences,1.0,4.0,Female,95.0,3.0,2.0,Sales Executive,3.0,Married,6347.0,24920.0,0.0
960,1068,26.0,Travel_Frequently,921.0,Research & Development,1.0,1.0,Medical,1.0,1.0,Female,66.0,2.0,1.0,Research Scientist,3.0,Divorced,2007.0,25265.0,1.0
961,855,33.0,Travel_Rarely,586.0,Sales,1.0,3.0,Medical,1.0,1.0,Male,48.0,4.0,2.0,Sales Executive,1.0,Divorced,4037.0,21816.0,1.0
962,1188,43.0,Travel_Rarely,1372.0,Sales,9.0,3.0,Marketing,1.0,1.0,Female,85.0,1.0,2.0,Sales Executive,3.0,Single,5346.0,9489.0,8.0
963,1747,30.0,Travel_Frequently,600.0,Human Resources,8.0,3.0,Human Resources,1.0,3.0,Female,66.0,2.0,1.0,Human Resources,4.0,Divorced,2180.0,9732.0,6.0
964,347,42.0,Travel_Rarely,916.0,Research & Development,17.0,2.0,Life Sciences,1.0,4.0,Female,82.0,4.0,2.0,Research Scientist,1.0,Single,6545.0,23016.0,3.0
965,239,30.0,Non-Travel,111.0,Research & Development,9.0,3.0,Medical,1.0,3.0,Male,66.0,3.0,2.0,Laboratory Technician,1.0,Divorced,3072.0,11012.0,1.0
966,1853,32.0,Travel_Frequently,1318.0,Sales,10.0,4.0,Marketing,1.0,4.0,Male,79.0,3.0,2.0,Sales Executive,4.0,Single,4648.0,26075.0,8.0
967,1221,36.0,Travel_Rarely,917.0,Research & Development,6.0,4.0,Life Sciences,1.0,3.0,Male,60.0,1.0,1.0,Laboratory Technician,3.0,Divorced,2741.0,6865.0,1.0
968,1387,28.0,Travel_Rarely,736.0,Sales,26.0,3.0,Life Sciences,1.0,3.0,Male,48.0,2.0,2.0,Sales Executive,1.0,Married,4724.0,24232.0,1.0
969,840,49.0,Travel_Rarely,1184.0,Sales,11.0,3.0,Marketing,1.0,3.0,Female,43.0,3.0,3.0,Sales Executive,4.0,Married,7654.0,5860.0,1.0
970,1301,28.0,Travel_Rarely,640.0,Research & Development,1.0,3.0,Technical Degree,1.0,4.0,Male,84.0,3.0,1.0,Research Scientist,1.0,Single,2080.0,4732.0,2.0
971,68,44.0,Travel_Rarely,1488.0,Sales,1.0,5.0,Marketing,1.0,2.0,Female,75.0,3.0,2.0,Sales Executive,1.0,Divorced,5454.0,4009.0,5.0
972,1399,25.0,Travel_Rarely,1372.0,Sales,18.0,1.0,Life Sciences,1.0,1.0,Male,93.0,4.0,2.0,Sales Executive,3.0,Married,6232.0,12477.0,2.0
973,389,55.0,Travel_Rarely,147.0,Research & Development,20.0,2.0,Technical Degree,1.0,2.0,Male,37.0,3.0,2.0,Laboratory Technician,4.0,Married,5415.0,15972.0,3.0
974,2056,39.0,Travel_Rarely,722.0,Sales,24.0,1.0,Marketing,1.0,2.0,Female,60.0,2.0,4.0,Sales Executive,4.0,Married,12031.0,8828.0,0.0
975,690,29.0,Travel_Rarely,1176.0,Sales,3.0,2.0,Medical,1.0,2.0,Female,62.0,3.0,2.0,Sales Executive,3.0,Married,5561.0,3487.0,1.0
976,893,38.0,Travel_Rarely,395.0,Sales,9.0,3.0,Marketing,1.0,2.0,Male,98.0,2.0,1.0,Sales Representative,2.0,Married,2899.0,12102.0,0.0
977,1217,46.0,Travel_Rarely,1450.0,Research & Development,15.0,2.0,Life Sciences,1.0,4.0,Male,52.0,3.0,5.0,Research Director,2.0,Married,19081.0,10849.0,5.0
978,421,38.0,Travel_Rarely,849.0,Research & Development,25.0,2.0,Life Sciences,1.0,1.0,Female,81.0,2.0,3.0,Research Director,2.0,Married,12061.0,26707.0,3.0
979,1944,27.0,Travel_Frequently,1337.0,Human Resources,22.0,3.0,Human Resources,1.0,1.0,Female,58.0,2.0,1.0,Human Resources,2.0,Married,2863.0,19555.0,1.0
980,554,24.0,Travel_Rarely,1448.0,Sales,1.0,1.0,Technical Degree,1.0,1.0,Female,62.0,3.0,1.0,Sales Representative,2.0,Single,3202.0,21972.0,1.0
981,217,22.0,Travel_Rarely,1256.0,Research & Development,19.0,1.0,Medical,1.0,3.0,Male,80.0,3.0,1.0,Research Scientist,4.0,Married,2323.0,11992.0,1.0
982,1111,28.0,Travel_Frequently,1009.0,Research & Development,1.0,3.0,Medical,1.0,1.0,Male,45.0,2.0,1.0,Laboratory Technician,2.0,Divorced,2596.0,7160.0,1.0
983,1995,38.0,Travel_Rarely,1321.0,Sales,1.0,4.0,Life Sciences,1.0,4.0,Male,86.0,3.0,2.0,Sales Executive,2.0,Married,4440.0,7636.0,0.0
984,1595,42.0,Travel_Rarely,1059.0,Research & Development,9.0,2.0,Other,1.0,4.0,Male,93.0,2.0,5.0,Manager,4.0,Single,19613.0,26362.0,8.0
985,1907,56.0,Travel_Rarely,1162.0,Research & Development,24.0,2.0,Life Sciences,1.0,1.0,Male,97.0,3.0,1.0,Laboratory Technician,4.0,Single,2587.0,10261.0,1.0
986,1177,26.0,Travel_Rarely,1384.0,Research & Development,3.0,4.0,Medical,1.0,1.0,Male,82.0,4.0,1.0,Laboratory Technician,4.0,Married,4420.0,13421.0,1.0
987,1047,34.0,Travel_Rarely,216.0,Sales,1.0,4.0,Marketing,1.0,2.0,Male,75.0,4.0,2.0,Sales Executive,4.0,Divorced,9725.0,12278.0,0.0
988,1471,44.0,Non-Travel,981.0,Research & Development,5.0,3.0,Life Sciences,1.0,3.0,Male,90.0,2.0,1.0,Laboratory Technician,3.0,Single,3162.0,7973.0,3.0
989,901,53.0,Travel_Rarely,102.0,Research & Development,23.0,4.0,Life Sciences,1.0,4.0,Female,72.0,3.0,4.0,Research Director,4.0,Single,14275.0,20206.0,6.0
990,1790,36.0,Travel_Rarely,1383.0,Research & Development,10.0,3.0,Life Sciences,1.0,4.0,Male,90.0,3.0,3.0,Healthcare Representative,1.0,Married,8321.0,25949.0,7.0
991,1680,20.0,Travel_Rarely,727.0,Sales,9.0,1.0,Life Sciences,1.0,4.0,Male,54.0,3.0,1.0,Sales Representative,1.0,Single,2728.0,21082.0,1.0
992,392,44.0,Travel_Frequently,920.0,Research & Development,24.0,3.0,Life Sciences,1.0,4.0,Male,43.0,3.0,1.0,Laboratory Technician,3.0,Divorced,3161.0,19920.0,3.0
993,133,37.0,Travel_Rarely,807.0,Human Resources,6.0,4.0,Human Resources,1.0,3.0,Male,63.0,3.0,1.0,Human Resources,1.0,Divorced,2073.0,23648.0,4.0
994,516,40.0,Travel_Rarely,759.0,Sales,2.0,2.0,Marketing,1.0,4.0,Female,46.0,3.0,2.0,Sales Executive,2.0,Divorced,5715.0,22553.0,7.0
995,1621,35.0,Travel_Rarely,819.0,Research & Development,18.0,5.0,Life Sciences,1.0,2.0,Male,48.0,4.0,2.0,Research Scientist,1.0,Married,5208.0,26312.0,1.0
996,1604,28.0,Travel_Rarely,329.0,Research & Development,24.0,3.0,Medical,1.0,3.0,Male,51.0,3.0,1.0,Laboratory Technician,2.0,Married,2408.0,7324.0,1.0
997,1580,34.0,Travel_Rarely,1351.0,Research & Development,1.0,4.0,Life Sciences,1.0,2.0,Male,45.0,3.0,2.0,Research Scientist,4.0,Married,5484.0,13008.0,9.0
998,1492,35.0,Travel_Rarely,660.0,Sales,7.0,1.0,Life Sciences,1.0,4.0,Male,76.0,3.0,1.0,Sales Representative,3.0,Married,2404.0,16192.0,1.0
999,548,30.0,Travel_Rarely,317.0,Research & Development,2.0,3.0,Life Sciences,1.0,3.0,Female,43.0,1.0,2.0,Manufacturing Director,4.0,Single,6091.0,24793.0,2.0
1000,1729,30.0,Travel_Rarely,793.0,Research & Development,16.0,1.0,Life Sciences,1.0,2.0,Male,33.0,3.0,1.0,Research Scientist,4.0,Married,2862.0,3811.0,1.0
1001,1890,36.0,Travel_Frequently,1213.0,Human Resources,2.0,1.0,Human Resources,1.0,2.0,Male,94.0,2.0,2.0,Human Resources,4.0,Single,3886.0,4223.0,1.0
1002,1562,30.0,Travel_Rarely,740.0,Sales,1.0,3.0,Life Sciences,1.0,2.0,Male,64.0,2.0,2.0,Sales Executive,1.0,Married,9714.0,5323.0,1.0
1003,571,30.0,Non-Travel,1116.0,Research & Development,2.0,3.0,Medical,1.0,3.0,Female,49.0,3.0,1.0,Laboratory Technician,4.0,Single,2564.0,7181.0,0.0
1004,329,52.0,Non-Travel,771.0,Sales,2.0,4.0,Life Sciences,1.0,1.0,Male,79.0,2.0,5.0,Manager,3.0,Single,19068.0,21030.0,1.0
1005,1924,33.0,Travel_Rarely,217.0,Sales,10.0,4.0,Marketing,1.0,2.0,Male,43.0,3.0,2.0,Sales Executive,3.0,Single,5487.0,10410.0,1.0
1006,1986,40.0,Travel_Rarely,444.0,Sales,2.0,2.0,Marketing,1.0,2.0,Female,92.0,3.0,2.0,Sales Executive,2.0,Married,5677.0,4258.0,3.0
1007,923,21.0,Travel_Rarely,1427.0,Research & Development,18.0,1.0,Other,1.0,4.0,Female,65.0,3.0,1.0,Research Scientist,4.0,Single,2693.0,8870.0,1.0
1008,1864,27.0,Travel_Rarely,728.0,Sales,23.0,1.0,Medical,1.0,2.0,Female,36.0,2.0,2.0,Sales Representative,3.0,Married,3540.0,7018.0,1.0
1009,214,58.0,Travel_Rarely,1145.0,Research & Development,9.0,3.0,Medical,1.0,2.0,Female,75.0,2.0,1.0,Research Scientist,2.0,Married,3346.0,11873.0,4.0
1010,373,36.0,Travel_Rarely,1403.0,Research & Development,6.0,3.0,Life Sciences,1.0,4.0,Male,47.0,3.0,1.0,Laboratory Technician,4.0,Married,3210.0,20251.0,0.0
1011,49,35.0,Travel_Rarely,890.0,Sales,2.0,3.0,Marketing,1.0,4.0,Female,97.0,3.0,1.0,Sales Representative,4.0,Married,2014.0,9687.0,1.0
1012,1039,44.0,Travel_Rarely,1448.0,Sales,28.0,3.0,Medical,1.0,4.0,Female,53.0,4.0,4.0,Sales Executive,4.0,Married,13320.0,11737.0,3.0
1013,473,48.0,Travel_Rarely,530.0,Sales,29.0,1.0,Medical,1.0,1.0,Female,91.0,3.0,3.0,Manager,3.0,Married,12504.0,23978.0,3.0
1014,526,43.0,Travel_Rarely,1473.0,Research & Development,8.0,4.0,Other,1.0,3.0,Female,74.0,3.0,2.0,Healthcare Representative,3.0,Divorced,4522.0,2227.0,4.0
1015,2052,35.0,Travel_Rarely,287.0,Research & Development,1.0,4.0,Life Sciences,1.0,3.0,Female,62.0,1.0,1.0,Research Scientist,4.0,Married,2977.0,8952.0,1.0
1016,117,30.0,Travel_Rarely,288.0,Research & Development,2.0,3.0,Life Sciences,1.0,3.0,Male,99.0,2.0,2.0,Healthcare Representative,4.0,Married,4152.0,15830.0,1.0
1017,701,20.0,Travel_Rarely,1362.0,Research & Development,10.0,1.0,Medical,1.0,4.0,Male,32.0,3.0,1.0,Research Scientist,3.0,Single,1009.0,26999.0,1.0
1018,1257,36.0,Travel_Frequently,469.0,Research & Development,3.0,3.0,Technical Degree,1.0,3.0,Male,46.0,3.0,1.0,Research Scientist,2.0,Married,3692.0,9256.0,1.0
1019,1114,33.0,Travel_Frequently,970.0,Sales,7.0,3.0,Life Sciences,1.0,4.0,Female,30.0,3.0,2.0,Sales Executive,2.0,Married,4302.0,13401.0,0.0
1020,878,36.0,Travel_Rarely,1278.0,Human Resources,8.0,3.0,Life Sciences,1.0,1.0,Male,77.0,2.0,1.0,Human Resources,1.0,Married,2342.0,8635.0,0.0
1021,452,45.0,Travel_Rarely,549.0,Research & Development,8.0,4.0,Other,1.0,4.0,Male,75.0,3.0,2.0,Research Scientist,4.0,Married,3697.0,9278.0,9.0
1022,597,55.0,Travel_Rarely,1117.0,Sales,18.0,5.0,Life Sciences,1.0,1.0,Female,83.0,3.0,4.0,Manager,2.0,Single,16835.0,9873.0,3.0
1023,802,37.0,Travel_Rarely,571.0,Research & Development,10.0,1.0,Life Sciences,1.0,4.0,Female,82.0,3.0,1.0,Research Scientist,1.0,Divorced,2782.0,19905.0,0.0
1024,478,21.0,Travel_Frequently,756.0,Sales,1.0,1.0,Technical Degree,1.0,1.0,Female,99.0,2.0,1.0,Sales Representative,2.0,Single,2174.0,9150.0,1.0
1025,1649,40.0,Travel_Rarely,1329.0,Research & Development,7.0,3.0,Life Sciences,1.0,1.0,Male,73.0,3.0,1.0,Laboratory Technician,1.0,Single,2166.0,3339.0,3.0
1026,1048,59.0,Travel_Rarely,1089.0,Sales,1.0,2.0,Technical Degree,1.0,2.0,Male,66.0,3.0,3.0,Manager,4.0,Married,11904.0,11038.0,3.0
1027,1132,39.0,Non-Travel,439.0,Research & Development,9.0,3.0,Life Sciences,1.0,3.0,Male,70.0,3.0,2.0,Laboratory Technician,2.0,Single,6782.0,8770.0,9.0
1028,95,31.0,Travel_Rarely,1082.0,Research & Development,1.0,4.0,Medical,1.0,3.0,Male,87.0,3.0,1.0,Research Scientist,2.0,Single,2501.0,18775.0,1.0
1029,1268,33.0,Travel_Rarely,536.0,Sales,10.0,5.0,Marketing,1.0,4.0,Male,82.0,4.0,3.0,Sales Executive,3.0,Divorced,8380.0,21708.0,0.0
1030,91,59.0,Travel_Frequently,1225.0,Sales,1.0,1.0,Life Sciences,1.0,1.0,Female,57.0,2.0,2.0,Sales Executive,3.0,Single,5473.0,24668.0,7.0
1031,381,35.0,Travel_Rarely,1315.0,Research & Development,22.0,3.0,Life Sciences,1.0,2.0,Female,71.0,4.0,3.0,Manager,2.0,Divorced,11996.0,19100.0,7.0
1032,547,42.0,Travel_Frequently,532.0,Research & Development,29.0,2.0,Life Sciences,1.0,1.0,Female,92.0,3.0,2.0,Research Scientist,3.0,Divorced,4556.0,12932.0,2.0
1033,399,31.0,Travel_Frequently,444.0,Sales,5.0,3.0,Marketing,1.0,4.0,Female,84.0,3.0,1.0,Sales Representative,2.0,Divorced,2789.0,3909.0,1.0
1034,832,40.0,Travel_Frequently,720.0,Research & Development,16.0,4.0,Medical,1.0,1.0,Male,51.0,2.0,2.0,Laboratory Technician,3.0,Single,5094.0,11983.0,6.0
1035,791,52.0,Non-Travel,715.0,Research & Development,19.0,4.0,Medical,1.0,4.0,Male,41.0,3.0,1.0,Research Scientist,4.0,Married,4258.0,26589.0,0.0
1036,247,34.0,Travel_Rarely,629.0,Research & Development,27.0,2.0,Medical,1.0,4.0,Female,95.0,3.0,1.0,Research Scientist,2.0,Single,2311.0,5711.0,2.0
1037,256,34.0,Travel_Frequently,1069.0,Research & Development,2.0,1.0,Life Sciences,1.0,4.0,Male,45.0,2.0,2.0,Manufacturing Director,3.0,Married,9547.0,14074.0,1.0
1038,1933,28.0,Travel_Rarely,1475.0,Sales,13.0,2.0,Marketing,1.0,4.0,Female,84.0,3.0,2.0,Sales Executive,3.0,Single,9854.0,23352.0,3.0
1039,1369,35.0,Travel_Rarely,817.0,Research & Development,1.0,3.0,Medical,1.0,4.0,Female,60.0,2.0,2.0,Laboratory Technician,4.0,Married,5363.0,10846.0,0.0
1040,591,42.0,Travel_Frequently,1474.0,Research & Development,5.0,2.0,Other,1.0,2.0,Male,97.0,3.0,1.0,Laboratory Technician,3.0,Married,2093.0,9260.0,4.0
1041,403,37.0,Travel_Frequently,889.0,Research & Development,9.0,3.0,Medical,1.0,2.0,Male,53.0,3.0,1.0,Research Scientist,4.0,Married,2326.0,11411.0,1.0
1042,361,38.0,Non-Travel,1327.0,Sales,2.0,2.0,Life Sciences,1.0,4.0,Male,39.0,2.0,2.0,Sales Executive,4.0,Married,5249.0,19682.0,3.0
1043,1029,42.0,Travel_Rarely,265.0,Sales,5.0,2.0,Marketing,1.0,4.0,Male,90.0,3.0,5.0,Manager,3.0,Married,18303.0,7770.0,6.0
1044,436,32.0,Travel_Rarely,588.0,Sales,8.0,2.0,Technical Degree,1.0,3.0,Female,65.0,2.0,2.0,Sales Executive,2.0,Married,5228.0,24624.0,1.0
1045,996,45.0,Travel_Rarely,974.0,Research & Development,1.0,4.0,Medical,1.0,4.0,Female,91.0,3.0,1.0,Laboratory Technician,4.0,Divorced,2270.0,11005.0,3.0
1046,1992,25.0,Travel_Rarely,977.0,Research & Development,2.0,1.0,Other,1.0,4.0,Male,57.0,3.0,1.0,Laboratory Technician,3.0,Divorced,3977.0,7298.0,6.0
1047,1010,35.0,Travel_Rarely,622.0,Research & Development,14.0,4.0,Other,1.0,3.0,Male,39.0,2.0,1.0,Laboratory Technician,2.0,Divorced,3743.0,10074.0,1.0
1048,1234,32.0,Travel_Frequently,116.0,Research & Development,13.0,3.0,Other,1.0,3.0,Female,77.0,2.0,1.0,Laboratory Technician,2.0,Married,2743.0,7331.0,1.0
1049,616,41.0,Non-Travel,509.0,Research & Development,2.0,4.0,Other,1.0,1.0,Female,62.0,2.0,2.0,Healthcare Representative,3.0,Single,6811.0,2112.0,2.0
1050,1495,24.0,Non-Travel,830.0,Sales,13.0,2.0,Life Sciences,1.0,4.0,Female,78.0,3.0,1.0,Sales Representative,2.0,Married,2033.0,7103.0,1.0
1051,1789,46.0,Travel_Rarely,734.0,Research & Development,2.0,4.0,Medical,1.0,3.0,Male,46.0,3.0,5.0,Research Director,4.0,Divorced,19328.0,14218.0,7.0
1052,1606,50.0,Travel_Frequently,1234.0,Research & Development,20.0,5.0,Medical,1.0,2.0,Male,41.0,3.0,4.0,Healthcare Representative,3.0,Married,11245.0,20689.0,2.0
1053,467,47.0,Travel_Frequently,1309.0,Sales,4.0,1.0,Medical,1.0,2.0,Male,99.0,3.0,2.0,Sales Representative,3.0,Single,2976.0,25751.0,3.0
1054,568,57.0,Travel_Rarely,210.0,Sales,29.0,3.0,Marketing,1.0,1.0,Male,56.0,2.0,4.0,Manager,4.0,Divorced,14118.0,22102.0,3.0
1055,1696,34.0,Travel_Rarely,1157.0,Research & Development,5.0,2.0,Medical,1.0,2.0,Male,57.0,2.0,2.0,Laboratory Technician,4.0,Married,3986.0,11912.0,1.0
1056,287,40.0,Non-Travel,1151.0,Research & Development,9.0,5.0,Life Sciences,1.0,4.0,Male,63.0,2.0,2.0,Healthcare Representative,4.0,Married,4876.0,14242.0,9.0
1057,1664,36.0,Travel_Rarely,1040.0,Research & Development,3.0,2.0,Life Sciences,1.0,4.0,Male,79.0,4.0,2.0,Healthcare Representative,1.0,Divorced,6842.0,26308.0,6.0
1058,273,38.0,Travel_Rarely,1084.0,Research & Development,29.0,3.0,Technical Degree,1.0,4.0,Male,54.0,3.0,2.0,Manufacturing Director,4.0,Married,6261.0,4185.0,3.0
1059,1758,33.0,Travel_Rarely,211.0,Sales,16.0,3.0,Life Sciences,1.0,1.0,Female,74.0,3.0,3.0,Sales Executive,1.0,Single,8564.0,10092.0,2.0
1060,645,25.0,Travel_Rarely,622.0,Sales,13.0,1.0,Medical,1.0,2.0,Male,40.0,3.0,1.0,Sales Representative,3.0,Married,2096.0,26376.0,1.0
1061,264,45.0,Non-Travel,1195.0,Research & Development,2.0,2.0,Medical,1.0,1.0,Male,65.0,2.0,4.0,Manager,4.0,Married,16792.0,20462.0,9.0
1062,447,47.0,Travel_Rarely,1482.0,Research & Development,5.0,5.0,Life Sciences,1.0,4.0,Male,42.0,3.0,5.0,Research Director,3.0,Married,18300.0,16375.0,4.0
1063,125,32.0,Travel_Rarely,1093.0,Sales,6.0,4.0,Medical,1.0,2.0,Male,87.0,3.0,2.0,Sales Executive,3.0,Single,5010.0,24301.0,1.0
1064,1823,34.0,Travel_Rarely,810.0,Sales,8.0,2.0,Technical Degree,1.0,2.0,Male,92.0,4.0,2.0,Sales Executive,3.0,Married,6799.0,22128.0,1.0
1065,1319,52.0,Travel_Rarely,1030.0,Sales,5.0,3.0,Life Sciences,1.0,2.0,Male,64.0,3.0,3.0,Sales Executive,2.0,Single,8446.0,21534.0,9.0
1066,1622,28.0,Travel_Rarely,580.0,Research & Development,27.0,3.0,Medical,1.0,2.0,Female,39.0,1.0,2.0,Manufacturing Director,1.0,Divorced,4877.0,20460.0,0.0
1067,202,40.0,Travel_Frequently,1395.0,Research & Development,26.0,3.0,Medical,1.0,2.0,Female,54.0,3.0,2.0,Research Scientist,2.0,Divorced,5605.0,8504.0,1.0
1068,533,30.0,Travel_Rarely,1082.0,Sales,12.0,3.0,Technical Degree,1.0,2.0,Female,83.0,3.0,2.0,Sales Executive,3.0,Single,6577.0,19558.0,0.0
1069,90,36.0,Travel_Rarely,318.0,Research & Development,9.0,3.0,Medical,1.0,4.0,Male,79.0,2.0,1.0,Research Scientist,3.0,Married,3388.0,21777.0,0.0
1070,1179,30.0,Travel_Rarely,852.0,Sales,10.0,3.0,Marketing,1.0,3.0,Male,72.0,2.0,2.0,Sales Executive,3.0,Married,6578.0,2706.0,1.0
1071,1195,45.0,Travel_Rarely,1457.0,Research & Development,7.0,3.0,Medical,1.0,1.0,Female,83.0,3.0,1.0,Research Scientist,3.0,Married,4477.0,20100.0,4.0
1072,760,39.0,Travel_Rarely,141.0,Human Resources,3.0,3.0,Human Resources,1.0,3.0,Female,44.0,4.0,2.0,Human Resources,2.0,Married,6389.0,18767.0,9.0
1073,1951,34.0,Travel_Rarely,1239.0,Sales,13.0,4.0,Medical,1.0,4.0,Male,39.0,3.0,3.0,Sales Executive,3.0,Divorced,8628.0,22914.0,1.0
1074,525,43.0,Travel_Frequently,313.0,Research & Development,21.0,3.0,Medical,1.0,4.0,Male,61.0,3.0,1.0,Laboratory Technician,4.0,Married,2258.0,15238.0,7.0
1075,1249,29.0,Travel_Rarely,1010.0,Research & Development,1.0,3.0,Life Sciences,1.0,1.0,Female,97.0,3.0,1.0,Research Scientist,4.0,Divorced,3760.0,5598.0,1.0
1076,63,35.0,Travel_Rarely,1229.0,Research & Development,8.0,1.0,Life Sciences,1.0,4.0,Male,36.0,4.0,1.0,Laboratory Technician,4.0,Married,2269.0,4892.0,1.0
1077,1650,29.0,Travel_Rarely,469.0,Sales,10.0,3.0,Medical,1.0,3.0,Male,42.0,2.0,2.0,Sales Executive,3.0,Single,5869.0,23413.0,9.0
1078,1269,19.0,Travel_Rarely,265.0,Research & Development,25.0,3.0,Life Sciences,1.0,2.0,Female,57.0,4.0,1.0,Research Scientist,4.0,Single,2994.0,21221.0,1.0
1079,249,50.0,Travel_Rarely,328.0,Research & Development,1.0,3.0,Medical,1.0,3.0,Male,86.0,2.0,1.0,Laboratory Technician,3.0,Married,3690.0,3425.0,2.0
1080,1857,46.0,Travel_Rarely,706.0,Research & Development,2.0,2.0,Life Sciences,1.0,4.0,Male,82.0,3.0,3.0,Manufacturing Director,4.0,Divorced,8578.0,19989.0,3.0
1081,912,29.0,Travel_Rarely,1086.0,Research & Development,7.0,1.0,Medical,1.0,1.0,Female,62.0,2.0,1.0,Laboratory Technician,4.0,Divorced,2532.0,6054.0,6.0
1082,1116,48.0,Non-Travel,1262.0,Research & Development,1.0,4.0,Medical,1.0,1.0,Male,35.0,4.0,4.0,Manager,4.0,Single,16885.0,16154.0,2.0
1083,1826,35.0,Travel_Rarely,185.0,Research & Development,23.0,4.0,Medical,1.0,2.0,Male,91.0,1.0,1.0,Laboratory Technician,3.0,Married,2705.0,9696.0,0.0
1084,579,34.0,Travel_Rarely,1303.0,Research & Development,2.0,4.0,Life Sciences,1.0,4.0,Male,62.0,2.0,1.0,Research Scientist,3.0,Divorced,2768.0,8416.0,3.0
1085,671,44.0,Travel_Rarely,1315.0,Research & Development,3.0,4.0,Other,1.0,4.0,Male,35.0,3.0,5.0,Manager,4.0,Married,19513.0,9358.0,4.0
1086,61,37.0,Travel_Rarely,408.0,Research & Development,19.0,2.0,Life Sciences,1.0,2.0,Male,73.0,3.0,1.0,Research Scientist,2.0,Married,3022.0,10227.0,4.0
1087,1898,27.0,Travel_Rarely,511.0,Sales,2.0,2.0,Medical,1.0,1.0,Female,89.0,4.0,2.0,Sales Executive,3.0,Single,6500.0,26997.0,0.0
1088,244,46.0,Travel_Rarely,526.0,Sales,1.0,2.0,Marketing,1.0,2.0,Female,92.0,3.0,3.0,Sales Executive,1.0,Divorced,10453.0,2137.0,1.0
1089,1849,43.0,Travel_Frequently,1422.0,Sales,2.0,4.0,Life Sciences,1.0,1.0,Male,92.0,3.0,2.0,Sales Executive,4.0,Married,5675.0,19246.0,1.0
1090,1869,46.0,Travel_Rarely,1254.0,Sales,10.0,3.0,Life Sciences,1.0,3.0,Female,64.0,3.0,3.0,Sales Executive,2.0,Married,7314.0,14011.0,5.0
1091,679,32.0,Travel_Rarely,646.0,Research & Development,9.0,4.0,Life Sciences,1.0,1.0,Female,92.0,3.0,2.0,Research Scientist,4.0,Married,6322.0,18089.0,1.0
