,EmployeeNumber,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,YearlyIncome
1039,1369,Y,No,12.0,3.0,2.0,80.0,1.0,10.0,0.0,3.0,9.0,7.0,0.0,0.0,64356.0
1040,591,Y,No,17.0,3.0,4.0,80.0,1.0,8.0,4.0,3.0,2.0,2.0,2.0,0.0,25116.0
1041,403,Y,Yes,12.0,3.0,3.0,80.0,3.0,4.0,3.0,2.0,4.0,2.0,1.0,2.0,27912.0
1042,361,Y,No,18.0,3.0,4.0,80.0,1.0,13.0,0.0,3.0,8.0,7.0,7.0,5.0,62988.0
1043,1029,Y,No,13.0,3.0,2.0,80.0,0.0,21.0,3.0,4.0,1.0,0.0,0.0,0.0,219636.0
1044,436,Y,Yes,11.0,3.0,4.0,80.0,0.0,13.0,2.0,3.0,13.0,12.0,11.0,9.0,62736.0
1045,996,Y,No,14.0,3.0,4.0,80.0,2.0,8.0,2.0,3.0,5.0,3.0,0.0,2.0,27240.0
1046,1992,Y,Yes,19.0,3.0,3.0,80.0,1.0,7.0,2.0,2.0,2.0,2.0,0.0,2.0,47724.0
1047,1010,Y,Yes,24.0,4.0,4.0,80.0,1.0,5.0,2.0,1.0,4.0,2.0,0.0,2.0,44916.0
1048,1234,Y,No,20.0,4.0,3.0,80.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,32916.0
1049,616,Y,Yes,17.0,3.0,1.0,80.0,0.0,10.0,3.0,3.0,8.0,7.0,0.0,7.0,81732.0
1050,1495,Y,No,13.0,3.0,3.0,80.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,24396.0
1051,1789,Y,Yes,17.0,3.0,3.0,80.0,1.0,24.0,3.0,3.0,2.0,1.0,2.0,2.0,231936.0
1052,1606,Y,Yes,15.0,3.0,3.0,80.0,1.0,32.0,3.0,3.0,30.0,8.0,12.0,13.0,134940.0
1053,467,Y,No,19.0,3.0,1.0,80.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,35712.0
1054,568,Y,No,12.0,3.0,3.0,80.0,1.0,32.0,3.0,2.0,1.0,0.0,0.0,0.0,169416.0
1055,1696,Y,No,14.0,3.0,3.0,80.0,1.0,15.0,3.0,4.0,15.0,10.0,4.0,13.0,47832.0
1056,287,Y,No,14.0,3.0,4.0,80.0,1.0,5.0,5.0,1.0,3.0,2.0,0.0,2.0,58512.0
1057,1664,Y,No,20.0,4.0,1.0,80.0,1.0,13.0,3.0,3.0,5.0,4.0,0.0,4.0,82104.0
1058,273,Y,No,18.0,3.0,1.0,80.0,1.0,9.0,3.0,1.0,7.0,7.0,1.0,7.0,75132.0
1059,1758,Y,Yes,20.0,4.0,3.0,80.0,0.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,102768.0
1060,645,Y,No,11.0,3.0,3.0,80.0,0.0,7.0,1.0,3.0,7.0,4.0,0.0,6.0,25152.0
1061,264,Y,No,23.0,4.0,4.0,80.0,1.0,22.0,1.0,3.0,20.0,8.0,11.0,8.0,201504.0
1062,447,Y,No,11.0,3.0,2.0,80.0,1.0,21.0,2.0,3.0,3.0,2.0,1.0,1.0,219600.0
1063,125,Y,No,16.0,3.0,1.0,80.0,0.0,12.0,0.0,3.0,11.0,8.0,5.0,7.0,60120.0
1064,1823,Y,No,21.0,4.0,3.0,80.0,2.0,10.0,5.0,3.0,10.0,8.0,4.0,8.0,81588.0
1065,1319,Y,Yes,19.0,3.0,3.0,80.0,0.0,10.0,2.0,2.0,8.0,7.0,7.0,7.0,101352.0
1066,1622,Y,No,21.0,4.0,2.0,80.0,1.0,6.0,5.0,2.0,5.0,3.0,0.0,0.0,58524.0
1067,202,Y,No,11.0,3.0,1.0,80.0,1.0,20.0,2.0,3.0,20.0,7.0,2.0,13.0,67260.0
1068,533,Y,No,11.0,3.0,2.0,80.0,0.0,6.0,6.0,3.0,5.0,4.0,4.0,4.0,78924.0
1069,90,Y,Yes,17.0,3.0,1.0,80.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,40656.0
1070,1179,Y,No,18.0,3.0,1.0,80.0,1.0,10.0,3.0,3.0,10.0,3.0,1.0,4.0,78936.0
1071,1195,Y,Yes,19.0,3.0,3.0,80.0,1.0,7.0,2.0,2.0,3.0,2.0,0.0,2.0,53724.0
1072,760,Y,No,15.0,3.0,3.0,80.0,1.0,12.0,3.0,1.0,8.0,3.0,3.0,6.0,76668.0
1073,1951,Y,No,18.0,3.0,3.0,80.0,1.0,9.0,2.0,2.0,8.0,7.0,1.0,1.0,103536.0
1074,525,Y,No,20.0,4.0,1.0,80.0,1.0,8.0,1.0,3.0,3.0,2.0,1.0,2.0,27096.0
1075,1249,Y,No,15.0,3.0,1.0,80.0,3.0,3.0,5.0,3.0,3.0,2.0,1.0,2.0,45120.0
1076,63,Y,No,19.0,3.0,4.0,80.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,27228.0
1077,1650,Y,No,11.0,3.0,3.0,80.0,0.0,8.0,2.0,3.0,5.0,2.0,1.0,4.0,70428.0
1078,1269,Y,Yes,12.0,3.0,4.0,80.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,35928.0
1079,249,Y,No,15.0,3.0,4.0,80.0,1.0,5.0,2.0,2.0,3.0,2.0,0.0,2.0,44280.0
1080,1857,Y,No,14.0,3.0,3.0,80.0,1.0,12.0,4.0,2.0,9.0,8.0,4.0,7.0,102936.0
1081,912,Y,No,14.0,3.0,3.0,80.0,3.0,8.0,5.0,3.0,4.0,3.0,0.0,3.0,30384.0
1082,1116,Y,No,22.0,4.0,3.0,80.0,0.0,27.0,3.0,2.0,5.0,4.0,2.0,1.0,202620.0
1083,1826,Y,No,16.0,3.0,2.0,80.0,1.0,6.0,2.0,4.0,5.0,4.0,0.0,3.0,32460.0
1084,579,Y,No,12.0,3.0,3.0,80.0,1.0,14.0,3.0,3.0,7.0,3.0,5.0,7.0,33216.0
1085,671,Y,Yes,12.0,3.0,1.0,80.0,1.0,26.0,2.0,4.0,2.0,2.0,0.0,1.0,234156.0
1086,61,Y,No,21.0,4.0,1.0,80.0,0.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,36264.0
1087,1898,Y,No,14.0,3.0,2.0,80.0,0.0,9.0,5.0,2.0,8.0,7.0,0.0,7.0,78000.0
1088,244,Y,No,25.0,4.0,3.0,80.0,3.0,24.0,2.0,3.0,24.0,13.0,15.0,7.0,125436.0
1089,1849,Y,No,20.0,4.0,3.0,80.0,1.0,7.0,5.0,3.0,7.0,7.0,7.0,7.0,68100.0
1090,1869,Y,No,21.0,4.0,3.0,80.0,3.0,14.0,2.0,3.0,8.0,7.0,0.0,7.0,87768.0
1091,679,Y,Yes,12.0,3.0,4.0,80.0,1.0,6.0,2.0,2.0,6.0,4.0,0.0,5.0,75864.0
1092,88,Y,No,13.0,3.0,4.0,80.0,1.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,26328.0
1093,1173,Y,No,22.0,4.0,4.0,80.0,0.0,6.0,2.0,3.0,4.0,3.0,1.0,2.0,43164.0
1094,1936,Y,No,25.0,4.0,4.0,80.0,1.0,10.0,3.0,3.0,10.0,0.0,7.0,9.0,61812.0
1095,58,Y,No,12.0,3.0,4.0,80.0,0.0,23.0,0.0,3.0,22.0,15.0,15.0,8.0,234540.0
1096,1856,Y,No,12.0,3.0,3.0,80.0,0.0,7.0,2.0,3.0,2.0,2.0,2.0,0.0,25260.0
1097,120,Y,Yes,22.0,4.0,4.0,80.0,0.0,11.0,2.0,1.0,10.0,7.0,1.0,0.0,65292.0
1098,995,Y,No,18.0,3.0,1.0,80.0,0.0,5.0,4.0,3.0,3.0,2.0,0.0,2.0,41424.0
1099,497,Y,No,11.0,3.0,2.0,80.0,1.0,5.0,2.0,3.0,5.0,2.0,0.0,4.0,45792.0
1100,327,Y,Yes,22.0,4.0,3.0,80.0,1.0,22.0,3.0,3.0,17.0,13.0,1.0,9.0,192768.0
1101,1099,Y,No,15.0,3.0,3.0,80.0,1.0,9.0,2.0,3.0,3.0,2.0,1.0,2.0,85428.0
1102,956,Y,No,12.0,3.0,2.0,80.0,0.0,7.0,2.0,3.0,7.0,7.0,0.0,7.0,51528.0
1103,1131,Y,Yes,11.0,3.0,3.0,80.0,0.0,2.0,6.0,4.0,2.0,2.0,2.0,2.0,24840.0
1104,1324,Y,Yes,19.0,3.0,1.0,80.0,1.0,10.0,5.0,2.0,10.0,8.0,9.0,6.0,118224.0
1105,1821,Y,No,22.0,4.0,4.0,80.0,1.0,13.0,2.0,4.0,9.0,7.0,3.0,7.0,107112.0
1106,101,Y,Yes,14.0,3.0,2.0,80.0,0.0,17.0,3.0,4.0,0.0,0.0,0.0,0.0,158940.0
1107,521,Y,No,22.0,4.0,2.0,80.0,1.0,20.0,3.0,3.0,1.0,0.0,0.0,0.0,41376.0
1108,86,Y,No,17.0,3.0,3.0,80.0,1.0,25.0,2.0,3.0,1.0,0.0,0.0,0.0,116688.0
1109,240,Y,Yes,11.0,3.0,1.0,80.0,1.0,9.0,3.0,4.0,5.0,4.0,0.0,3.0,60072.0
1110,1256,Y,No,13.0,3.0,3.0,80.0,1.0,23.0,2.0,4.0,1.0,0.0,0.0,0.0,224532.0
1111,899,Y,No,16.0,3.0,1.0,80.0,0.0,16.0,2.0,3.0,13.0,10.0,4.0,8.0,130836.0
1112,741,Y,Yes,13.0,3.0,4.0,80.0,0.0,10.0,4.0,3.0,7.0,7.0,3.0,7.0,26592.0
1113,271,Y,No,14.0,3.0,2.0,80.0,0.0,14.0,3.0,3.0,1.0,0.0,0.0,0.0,78636.0
1114,321,Y,No,17.0,3.0,4.0,80.0,0.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,27204.0
1115,1447,Y,No,17.0,3.0,1.0,80.0,1.0,7.0,2.0,2.0,5.0,4.0,0.0,2.0,39528.0
1116,1702,Y,Yes,21.0,4.0,2.0,80.0,1.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,27300.0
1117,648,Y,No,18.0,3.0,3.0,80.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,24396.0
1118,84,Y,Yes,14.0,3.0,3.0,80.0,3.0,21.0,2.0,3.0,5.0,0.0,0.0,2.0,177072.0
1119,1539,Y,Yes,13.0,3.0,4.0,80.0,0.0,32.0,2.0,3.0,32.0,6.0,13.0,9.0,172932.0
1120,425,Y,No,18.0,3.0,1.0,80.0,1.0,24.0,2.0,3.0,24.0,9.0,9.0,11.0,62520.0
1121,277,Y,Yes,17.0,3.0,4.0,80.0,1.0,5.0,4.0,4.0,5.0,3.0,2.0,0.0,45780.0
1122,1073,Y,No,11.0,3.0,2.0,80.0,0.0,15.0,2.0,2.0,14.0,8.0,7.0,8.0,106296.0
1123,1097,Y,No,13.0,3.0,4.0,80.0,0.0,10.0,4.0,4.0,8.0,7.0,1.0,7.0,43920.0
1124,1867,Y,No,12.0,3.0,4.0,80.0,0.0,29.0,3.0,3.0,22.0,10.0,12.0,9.0,235980.0
1125,691,Y,No,13.0,3.0,2.0,80.0,0.0,17.0,3.0,3.0,17.0,11.0,11.0,8.0,79752.0
1126,1424,Y,No,13.0,3.0,4.0,80.0,2.0,31.0,4.0,4.0,7.0,7.0,0.0,0.0,176784.0
1127,1473,Y,No,14.0,3.0,2.0,80.0,1.0,20.0,0.0,2.0,3.0,2.0,1.0,2.0,79812.0
1128,1003,Y,Yes,17.0,3.0,3.0,80.0,0.0,9.0,0.0,3.0,9.0,0.0,0.0,7.0,49956.0
1129,412,Y,No,19.0,3.0,3.0,80.0,0.0,9.0,2.0,3.0,8.0,3.0,0.0,7.0,67932.0
1130,635,Y,No,12.0,3.0,2.0,80.0,1.0,8.0,2.0,2.0,6.0,5.0,4.0,3.0,77364.0
1131,1025,Y,No,14.0,3.0,2.0,80.0,0.0,8.0,6.0,3.0,2.0,2.0,2.0,1.0,60036.0
1132,205,Y,Yes,20.0,4.0,4.0,80.0,1.0,13.0,3.0,1.0,7.0,7.0,4.0,5.0,27672.0
1133,192,Y,No,13.0,3.0,2.0,80.0,0.0,9.0,2.0,2.0,6.0,5.0,0.0,3.0,41424.0
1134,1762,Y,No,13.0,3.0,3.0,80.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,25308.0
1135,230,Y,No,22.0,4.0,3.0,80.0,0.0,12.0,2.0,4.0,8.0,3.0,0.0,7.0,104232.0
1136,508,Y,No,18.0,3.0,1.0,80.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,29712.0
1137,887,Y,No,16.0,3.0,2.0,80.0,1.0,7.0,2.0,3.0,4.0,2.0,0.0,2.0,42960.0
1138,1646,Y,Yes,13.0,3.0,3.0,80.0,0.0,6.0,2.0,3.0,6.0,3.0,1.0,3.0,45120.0
1139,1312,Y,No,12.0,3.0,1.0,80.0,0.0,10.0,0.0,3.0,7.0,7.0,1.0,7.0,85128.0
1140,176,Y,Yes,13.0,3.0,3.0,80.0,1.0,12.0,2.0,3.0,9.0,7.0,0.0,7.0,98268.0
1141,163,Y,Yes,18.0,3.0,2.0,80.0,0.0,12.0,3.0,2.0,7.0,7.0,7.0,7.0,74064.0
1142,142,Y,Yes,11.0,3.0,4.0,80.0,0.0,6.0,1.0,3.0,6.0,4.0,0.0,3.0,68928.0
1143,393,Y,No,14.0,3.0,2.0,80.0,1.0,10.0,2.0,3.0,2.0,2.0,1.0,2.0,68940.0
1144,311,Y,No,17.0,3.0,3.0,80.0,1.0,13.0,2.0,3.0,9.0,8.0,5.0,8.0,33516.0
1145,714,Y,Yes,20.0,4.0,2.0,80.0,2.0,6.0,3.0,3.0,6.0,5.0,0.0,4.0,55764.0
1146,267,Y,Yes,12.0,3.0,1.0,80.0,1.0,8.0,3.0,2.0,8.0,7.0,1.0,7.0,42768.0
1147,913,Y,Yes,13.0,3.0,4.0,80.0,0.0,8.0,0.0,3.0,8.0,7.0,7.0,1.0,30708.0
1148,1633,Y,No,13.0,3.0,4.0,80.0,0.0,10.0,2.0,1.0,9.0,2.0,3.0,8.0,60504.0
1149,2035,Y,No,21.0,4.0,4.0,80.0,2.0,8.0,2.0,3.0,8.0,7.0,1.0,7.0,80544.0
1150,1071,Y,No,19.0,3.0,2.0,80.0,1.0,18.0,4.0,3.0,5.0,4.0,0.0,3.0,35304.0
1151,1763,Y,No,16.0,3.0,3.0,80.0,1.0,10.0,3.0,3.0,7.0,0.0,1.0,7.0,63528.0
1152,1453,Y,No,18.0,3.0,1.0,80.0,1.0,13.0,5.0,3.0,13.0,7.0,9.0,9.0,129516.0
1153,1175,Y,Yes,11.0,3.0,4.0,80.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,30180.0
1154,167,Y,Yes,19.0,3.0,4.0,80.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,20100.0
1155,1105,Y,Yes,14.0,3.0,3.0,80.0,3.0,8.0,5.0,3.0,1.0,0.0,0.0,0.0,80328.0
1156,1993,Y,No,23.0,4.0,2.0,80.0,0.0,25.0,3.0,3.0,17.0,14.0,12.0,11.0,103596.0
1157,653,Y,No,22.0,4.0,4.0,80.0,2.0,13.0,4.0,4.0,7.0,7.0,5.0,7.0,65520.0
1158,1506,Y,No,14.0,3.0,4.0,80.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,18756.0
1159,323,Y,No,11.0,3.0,3.0,80.0,1.0,32.0,3.0,2.0,7.0,0.0,0.0,6.0,234204.0
1160,1052,Y,No,14.0,3.0,2.0,80.0,1.0,9.0,3.0,2.0,1.0,0.0,0.0,0.0,58008.0
1161,270,Y,No,16.0,3.0,2.0,80.0,1.0,11.0,5.0,3.0,5.0,3.0,0.0,2.0,63180.0
1162,1866,Y,No,13.0,3.0,4.0,80.0,0.0,21.0,2.0,3.0,16.0,12.0,6.0,14.0,232704.0
1163,342,Y,No,11.0,3.0,2.0,80.0,2.0,17.0,5.0,3.0,1.0,0.0,0.0,0.0,120576.0
1164,1478,Y,No,18.0,3.0,4.0,80.0,0.0,15.0,2.0,3.0,13.0,9.0,3.0,12.0,57108.0
1165,72,Y,Yes,19.0,3.0,3.0,80.0,1.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,49884.0
1166,1997,Y,No,11.0,3.0,4.0,80.0,1.0,10.0,1.0,3.0,8.0,3.0,7.0,7.0,63852.0
1167,861,Y,No,12.0,3.0,2.0,80.0,1.0,10.0,3.0,2.0,5.0,4.0,0.0,3.0,45132.0
1168,659,Y,No,13.0,3.0,2.0,80.0,2.0,10.0,4.0,3.0,10.0,2.0,2.0,2.0,49068.0
1169,1648,Y,No,13.0,3.0,3.0,80.0,0.0,6.0,0.0,2.0,4.0,2.0,1.0,2.0,30960.0
1170,1681,Y,Yes,25.0,4.0,3.0,80.0,1.0,7.0,2.0,3.0,6.0,5.0,1.0,2.0,64416.0
1171,46,Y,No,12.0,3.0,4.0,80.0,2.0,6.0,3.0,2.0,5.0,3.0,1.0,4.0,31740.0
1172,655,Y,No,12.0,3.0,3.0,80.0,2.0,6.0,5.0,2.0,5.0,3.0,0.0,3.0,26244.0
1173,2020,Y,Yes,12.0,3.0,3.0,80.0,0.0,6.0,2.0,3.0,4.0,3.0,1.0,2.0,29232.0
1174,1545,Y,No,13.0,3.0,4.0,80.0,0.0,5.0,2.0,3.0,5.0,3.0,0.0,2.0,51840.0
1175,60,Y,No,20.0,4.0,3.0,80.0,0.0,10.0,2.0,3.0,9.0,5.0,8.0,7.0,54816.0
1176,1582,Y,No,11.0,3.0,4.0,80.0,1.0,10.0,3.0,3.0,9.0,8.0,7.0,7.0,119088.0
1177,1577,Y,No,13.0,3.0,3.0,80.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,35664.0
1178,1060,Y,No,16.0,3.0,1.0,80.0,1.0,8.0,2.0,3.0,2.0,2.0,2.0,2.0,33852.0
1179,391,Y,No,12.0,3.0,2.0,80.0,0.0,17.0,3.0,3.0,17.0,12.0,5.0,7.0,25380.0
1180,1165,Y,No,13.0,3.0,1.0,80.0,1.0,11.0,3.0,1.0,11.0,8.0,3.0,10.0,88032.0
1181,590,Y,Yes,15.0,3.0,3.0,80.0,3.0,11.0,2.0,3.0,3.0,2.0,0.0,2.0,119400.0
1182,1642,Y,Yes,11.0,3.0,3.0,80.0,0.0,14.0,3.0,3.0,10.0,7.0,0.0,2.0,68916.0
1183,1860,Y,No,13.0,3.0,4.0,80.0,0.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,47616.0
1184,1625,Y,No,11.0,3.0,3.0,80.0,1.0,27.0,2.0,3.0,5.0,2.0,1.0,0.0,235896.0
1185,1764,Y,No,14.0,3.0,2.0,80.0,0.0,12.0,3.0,3.0,7.0,7.0,0.0,7.0,32616.0
1186,1787,Y,No,14.0,3.0,1.0,80.0,2.0,5.0,2.0,3.0,5.0,2.0,0.0,3.0,50268.0
1187,2013,Y,No,14.0,3.0,2.0,80.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,27228.0
1188,45,Y,Yes,16.0,3.0,1.0,80.0,1.0,6.0,2.0,2.0,2.0,0.0,2.0,0.0,27516.0
1189,1818,Y,Yes,11.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,5.0,1.0,1.0,4.0,25776.0
1190,1659,Y,No,11.0,3.0,3.0,80.0,0.0,15.0,4.0,3.0,4.0,3.0,1.0,3.0,24156.0
1191,2054,Y,No,14.0,3.0,2.0,80.0,0.0,5.0,3.0,1.0,5.0,4.0,0.0,4.0,45420.0
1192,517,Y,No,16.0,3.0,2.0,80.0,1.0,8.0,5.0,3.0,5.0,2.0,1.0,2.0,30912.0
1193,1842,Y,No,17.0,3.0,3.0,80.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,35472.0
1194,28,Y,No,11.0,3.0,3.0,80.0,0.0,13.0,4.0,3.0,12.0,6.0,2.0,11.0,143928.0
1195,2012,Y,No,19.0,3.0,3.0,80.0,2.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,28872.0
1196,1982,Y,No,13.0,3.0,3.0,80.0,0.0,5.0,6.0,4.0,5.0,2.0,1.0,4.0,31764.0
1197,1016,Y,Yes,15.0,3.0,1.0,80.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,31200.0
1198,502,Y,Yes,13.0,3.0,2.0,80.0,0.0,9.0,3.0,2.0,5.0,2.0,0.0,4.0,63648.0
1199,491,Y,No,15.0,3.0,4.0,80.0,0.0,20.0,2.0,3.0,4.0,3.0,1.0,3.0,125952.0
1200,79,Y,No,11.0,3.0,4.0,80.0,0.0,10.0,2.0,3.0,10.0,3.0,9.0,9.0,28872.0
1201,896,Y,Yes,19.0,3.0,3.0,80.0,3.0,5.0,3.0,3.0,3.0,2.0,0.0,2.0,33600.0
1202,349,Y,No,14.0,3.0,4.0,80.0,1.0,10.0,2.0,3.0,3.0,2.0,0.0,2.0,83172.0
1203,888,Y,No,17.0,3.0,4.0,80.0,0.0,6.0,2.0,2.0,5.0,2.0,3.0,4.0,37944.0
1204,1555,Y,No,12.0,3.0,1.0,80.0,1.0,12.0,2.0,3.0,7.0,1.0,2.0,5.0,70536.0
1205,600,Y,No,11.0,3.0,3.0,80.0,0.0,15.0,2.0,3.0,11.0,9.0,6.0,9.0,56604.0
1206,1203,Y,Yes,11.0,3.0,2.0,80.0,1.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,34236.0
1207,292,Y,No,22.0,4.0,3.0,80.0,0.0,12.0,2.0,3.0,11.0,8.0,5.0,8.0,101688.0
1208,1172,Y,No,12.0,3.0,2.0,80.0,1.0,10.0,2.0,3.0,8.0,0.0,1.0,7.0,27096.0
1209,647,Y,Yes,16.0,3.0,4.0,80.0,1.0,6.0,4.0,3.0,6.0,3.0,1.0,2.0,34632.0
1210,1306,Y,No,22.0,4.0,3.0,80.0,0.0,22.0,4.0,3.0,0.0,0.0,0.0,0.0,216732.0
1211,661,Y,Yes,14.0,3.0,3.0,80.0,1.0,21.0,3.0,2.0,1.0,0.0,0.0,0.0,199524.0
1212,1950,Y,No,21.0,4.0,1.0,80.0,0.0,14.0,3.0,2.0,14.0,8.0,2.0,1.0,118656.0
1213,1102,Y,No,16.0,3.0,4.0,80.0,1.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,26484.0
1214,2040,Y,Yes,16.0,3.0,3.0,80.0,0.0,9.0,2.0,3.0,9.0,0.0,1.0,7.0,106044.0
1215,231,Y,No,20.0,4.0,1.0,80.0,0.0,8.0,2.0,3.0,5.0,4.0,1.0,4.0,36456.0
1216,1792,Y,Yes,12.0,3.0,3.0,80.0,3.0,6.0,2.0,2.0,5.0,3.0,2.0,3.0,28104.0
1217,611,Y,No,12.0,3.0,2.0,80.0,2.0,8.0,2.0,4.0,3.0,2.0,1.0,2.0,51144.0
1218,22,Y,Yes,13.0,3.0,2.0,80.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,35220.0
1219,1128,Y,No,14.0,3.0,1.0,80.0,0.0,21.0,2.0,4.0,20.0,7.0,4.0,9.0,235512.0
1220,577,Y,No,15.0,3.0,3.0,80.0,0.0,6.0,2.0,3.0,5.0,4.0,4.0,3.0,50760.0
1221,97,Y,No,12.0,3.0,2.0,80.0,0.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,36456.0
1222,830,Y,No,12.0,3.0,3.0,80.0,1.0,14.0,3.0,3.0,14.0,13.0,6.0,8.0,73944.0
1223,1297,Y,No,14.0,3.0,2.0,80.0,0.0,8.0,6.0,2.0,7.0,0.0,7.0,7.0,34056.0
1224,1121,Y,No,17.0,3.0,2.0,80.0,3.0,10.0,3.0,2.0,9.0,7.0,1.0,7.0,91860.0
1225,1140,Y,No,11.0,3.0,4.0,80.0,0.0,5.0,3.0,2.0,3.0,2.0,0.0,2.0,48396.0
1226,466,Y,Yes,15.0,3.0,4.0,80.0,0.0,8.0,3.0,3.0,5.0,4.0,1.0,2.0,72384.0
1227,1334,Y,Yes,13.0,3.0,4.0,80.0,0.0,21.0,3.0,2.0,20.0,8.0,2.0,10.0,214332.0
1228,1,Y,Yes,11.0,3.0,1.0,80.0,0.0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,71916.0
1229,1044,Y,No,19.0,3.0,4.0,80.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,28104.0
1230,1520,Y,No,20.0,4.0,1.0,80.0,1.0,26.0,2.0,3.0,14.0,9.0,1.0,12.0,192384.0
1231,1322,Y,No,11.0,3.0,1.0,80.0,0.0,9.0,6.0,3.0,8.0,7.0,1.0,7.0,54408.0
1232,18,Y,No,11.0,3.0,3.0,80.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,31932.0
1233,1030,Y,No,18.0,3.0,2.0,80.0,0.0,8.0,5.0,3.0,1.0,0.0,0.0,0.0,28560.0
1234,769,Y,No,17.0,3.0,4.0,80.0,0.0,19.0,4.0,3.0,2.0,2.0,2.0,2.0,29400.0
1235,867,Y,No,22.0,4.0,3.0,80.0,0.0,31.0,3.0,3.0,9.0,8.0,0.0,0.0,165912.0
1236,1934,Y,No,18.0,3.0,3.0,80.0,1.0,16.0,4.0,4.0,8.0,7.0,1.0,7.0,65604.0
1237,1394,Y,Yes,15.0,3.0,4.0,80.0,0.0,8.0,2.0,3.0,6.0,4.0,1.0,3.0,35952.0
1238,94,Y,No,23.0,4.0,4.0,80.0,1.0,6.0,3.0,3.0,5.0,4.0,0.0,4.0,32436.0
1239,1507,Y,No,14.0,3.0,4.0,80.0,0.0,5.0,5.0,3.0,4.0,2.0,1.0,3.0,58776.0
1240,1534,Y,No,14.0,3.0,2.0,80.0,0.0,15.0,3.0,1.0,5.0,4.0,1.0,0.0,24216.0
1241,903,Y,Yes,22.0,4.0,1.0,80.0,1.0,8.0,2.0,3.0,7.0,6.0,7.0,7.0,54444.0
1242,1844,Y,Yes,15.0,3.0,4.0,80.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,0.0,28020.0
1243,298,Y,Yes,18.0,3.0,3.0,80.0,0.0,16.0,3.0,3.0,1.0,0.0,0.0,0.0,163092.0
1244,330,Y,No,11.0,3.0,1.0,80.0,1.0,6.0,5.0,3.0,4.0,3.0,1.0,2.0,47172.0
1245,464,Y,No,13.0,3.0,4.0,80.0,0.0,17.0,5.0,3.0,16.0,6.0,0.0,13.0,97140.0
1246,1011,Y,No,12.0,3.0,3.0,80.0,1.0,4.0,1.0,3.0,4.0,3.0,0.0,3.0,49776.0
1247,19,Y,Yes,14.0,3.0,2.0,80.0,0.0,6.0,4.0,3.0,4.0,2.0,0.0,3.0,24336.0
1248,954,Y,No,12.0,3.0,2.0,80.0,1.0,11.0,2.0,2.0,1.0,0.0,0.0,0.0,116460.0
1249,1296,Y,Yes,12.0,3.0,2.0,80.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,46404.0
1250,2026,Y,No,21.0,4.0,1.0,80.0,1.0,13.0,2.0,2.0,13.0,12.0,1.0,9.0,75672.0
1251,531,Y,Yes,14.0,3.0,3.0,80.0,1.0,21.0,3.0,3.0,21.0,8.0,1.0,6.0,230364.0
1252,1220,Y,No,12.0,3.0,1.0,80.0,1.0,10.0,3.0,2.0,10.0,7.0,0.0,1.0,54468.0
1253,1513,Y,No,13.0,3.0,3.0,80.0,3.0,4.0,3.0,3.0,3.0,2.0,0.0,2.0,38160.0
1254,1908,Y,No,16.0,3.0,3.0,80.0,2.0,12.0,1.0,1.0,4.0,2.0,1.0,3.0,66084.0
